kind,name,brand,type,width,depth,height,sill,color,stories,floorheight,parapet,material
equipment,"Commercial electric water heater, 120 gal ELD-120 (Universal",Rheem,water-heaters,2.4,2.4,5.3,,#c0c8d0,,,,
equipment,"Condensing tankless water heater, wall-hung 199 MBH NPE-240A",Navien,water-heaters,1.5,1.2,2.3,,#c0c8d0,,,,
equipment,"Tankless rack system, free-standing 5-unit bank TRS Tankless",Rinnai,water-heaters,6,3,6.8,,#1f2937,,,,
equipment,"Jacketed vertical hot water storage tank, 120 gal TJV-120M",AO Smith,water-heaters,2.6,2.6,5.4,,#c0c8d0,,,,
equipment,"Residential electric water heater, 50 gal (in-unit) 50-gal t",generic,water-heaters,1.9,1.9,4.8,,#c0c8d0,,,,
equipment,"Packaged variable-speed booster set, duplex Hydro MPC-E (2x ",Grundfos,booster-pumps,4,2.6,5,,#c0c8d0,,,,
equipment,Triplex domestic booster pump skid Technoforce e-HV package,Bell & Gossett,booster-pumps,7,3.5,6,,#c0c8d0,,,,
equipment,Domestic water booster / water entry room typical room,generic,booster-pumps,12,10,9,,#c0c8d0,,,,
equipment,"Reduced pressure zone backflow preventer, 2 in 975XL2",Zurn Wilkins,backflow-preventers,1.8,0.8,1.2,,#c0c8d0,,,,
equipment,"Reduced pressure zone backflow preventer, 3 in LF909",Watts,backflow-preventers,2.9,1.2,2,,#c0c8d0,,,,
equipment,"Reduced pressure zone backflow preventer, 4 in 375A",Zurn Wilkins,backflow-preventers,3.8,1.5,2.5,,#c0c8d0,,,,
equipment,"Reduced pressure zone backflow preventer, 6 in 994 / 957 ser",Watts,backflow-preventers,4.9,1.8,3,,#c0c8d0,,,,
equipment,"Reduced pressure zone backflow preventer, 10 in 375AST",Zurn Wilkins,backflow-preventers,6.8,2.5,3.5,,#c0c8d0,,,,
equipment,"Electric horizontal split-case fire pump skid, 500 GPM AE se",Peerless,fire-pumps,6,3,4,,#c0c8d0,,,,
equipment,"Electric horizontal split-case fire pump skid, 1000 GPM AE s",Peerless,fire-pumps,8,3.5,4.5,,#c0c8d0,,,,
equipment,"Vertical inline electric fire pump, 500 GPM PVF vertical inl",Peerless,fire-pumps,2.5,2.5,6.5,,#c0c8d0,,,,
equipment,"Diesel fire pump skid, 1500 GPM horizontal split-case w/ die",Patterson,fire-pumps,10,4.5,6,,#c0c8d0,,,,
equipment,"Diesel fire pump skid, 2500 GPM horizontal split-case w/ die",Patterson,fire-pumps,12.5,5.5,6.5,,#c0c8d0,,,,
equipment,"Fire pump room, typical NFPA 20 room",generic,fire-pumps,20,15,10,,#c0c8d0,,,,
equipment,"Fire sprinkler riser room, typical",generic,fire-riser-rooms,8,6,10,,#c0c8d0,,,,
equipment,"Hydromechanical grease interceptor, 75 GPM Great Basin GB-75",Schier,grease-interceptors,4,3.8,3.9,,#c0c8d0,,,,
equipment,"Hydromechanical grease interceptor, 100 GPM class Great Basi",Schier,grease-interceptors,6,5,5.3,,#c0c8d0,,,,
equipment,Large-capacity grease interceptor Great Basin GB-500,Schier,grease-interceptors,9,5.5,6,,#c0c8d0,,,,
equipment,"Precast concrete grease interceptor, 1500 gal precast two-co",generic,grease-interceptors,10,6,6.5,,#c0c8d0,,,,
equipment,"Compound/omni water meter, 2 in OMNI C2 2 in",Sensus,water-meters,1.4,0.7,0.9,,#c0c8d0,,,,
equipment,"Compound/omni water meter, 6 in OMNI C2 6 in",Sensus,water-meters,2,1.2,1.5,,#c0c8d0,,,,
equipment,"Precast water meter vault, 4-8 in service precast vault",generic,water-meters,10,6,7,,#c0c8d0,,,,
equipment,"Commercial diaphragm gas meter set, ~630-1000 CFH AC-630 cla",Itron / American Meter,gas-meters,3,1.5,3.5,,#c0c8d0,,,,
equipment,"Rotary gas meter set, 3000-11000 CFH 3M-11M rotary series",Dresser (Roots),gas-meters,5,2,4.5,,#c0c8d0,,,,
equipment,Gas regulator station / multi-meter manifold multifamily met,generic,gas-meters,10,1.5,6,,#c0c8d0,,,,
equipment,"Rotary screw air compressor, 40 HP class GA 30+",Atlas Copco,compressed-air,5,3,5.5,,#c0c8d0,,,,
equipment,"Rotary screw air compressor, 100 HP class GA 75 VSD+",Atlas Copco,compressed-air,7.5,4,6.5,,#c0c8d0,,,,
equipment,"Rotary screw air compressor, 60 HP class RS45i",Ingersoll Rand,compressed-air,6.1,3.5,5.9,,#c0c8d0,,,,
equipment,"Vertical air receiver tank, 400 gal ASME vertical receiver",generic,compressed-air,3,3,10,,#c0c8d0,,,,
equipment,"Reverse osmosis skid, 25-50 GPM 2-pass RO skid",generic,process-water,10,4,7,,#c0c8d0,,,,
equipment,Packaged deionized/process water system Vantage RO series,Evoqua,process-water,12,4,7,,#c0c8d0,,,,
equipment,"Stationary trash compactor, 2 cu yd charge RJ-250",Marathon,trash-compactors,10.6,5.3,4.4,,#c0c8d0,,,,
equipment,Apartment chute-fed compactor RJ-88SC,Marathon,trash-compactors,5,3.5,4.5,,#c0c8d0,,,,
equipment,"Self-contained compactor, 34 yd self-contained series",Marathon,trash-compactors,23,8,8.5,,#c0c8d0,,,,
equipment,Vertical cardboard baler V-6030,Marathon,trash-compactors,6.3,3.5,13,,#c0c8d0,,,,
equipment,"Roll-off container, 40 yd open top 40 yd roll-off",generic,trash-compactors,22,8,7.5,,#c0c8d0,,,,
equipment,Vehicle restraint (trailer lock) Dok-Lok VBR series,Rite-Hite,loading-dock,2,1.5,2.5,,#c0c8d0,,,,
equipment,Dock seal / shelter for 9x10 ft door compression dock seal,generic,loading-dock,11,1,12,,#c0c8d0,,,,
equipment,"Dumpster enclosure, single 8 yd CMU enclosure",generic,site-utility,14,12,6,,#c0c8d0,,,,
equipment,"Dumpster enclosure, double (trash + recycle) CMU enclosure",generic,site-utility,24,12,6,,#c0c8d0,,,,
equipment,"Compactor enclosure / service yard, multifamily screened ser",generic,site-utility,40,15,8,,#c0c8d0,,,,
equipment,Post indicator valve (PIV) and fire dept connection (FDC) PI,generic,site-utility,1,1,3,,#c0c8d0,,,,
equipment,"Demountable wall, solid/glass hybrid DIRTT Wall",DIRTT,partitions,4,0.35,9,,#9a8cff,,,,
equipment,"Demountable glass wall, single-glazed Tek Vue",Teknion,partitions,4,0.15,9,,#9a8cff,,,,
equipment,"Operable partition, paired-panel Acousti-Seal 932",Modernfold,partitions,4,0.33,10,,#9a8cff,,,,
equipment,Vertically folding operable wall Classic,Skyfold,partitions,30,0.5,10,,#9a8cff,,,,
equipment,"Toilet partition, standard stall SierraSeries type",Bobrick,partitions,3,5,5.83,,#9a8cff,,,,
equipment,"Toilet partition, ADA stall",generic,partitions,5,5,5.83,,#9a8cff,,,,
equipment,"Hollow metal door, 3070 single SDI-100 A60",generic,doors,3,0.15,7,,#9a8cff,,,,
equipment,"Solid core wood door, 3068",generic,doors,3,0.15,6.67,,#9a8cff,,,,
equipment,"Interior wood door, 2868",generic,doors,2.67,0.11,6.67,,#9a8cff,,,,
equipment,"Hollow metal pair, 6070",generic,doors,6,0.15,7,,#9a8cff,,,,
equipment,"Hollow metal door, 4070 single",generic,doors,4,0.15,7,,#9a8cff,,,,
equipment,"Hollow metal door, 3080 single",generic,doors,3,0.15,8,,#9a8cff,,,,
equipment,"Aluminum storefront door, 3070 medium stile 500 Series type",Kawneer,doors,3,0.17,7,,#9a8cff,,,,
equipment,"Sliding barn door, MF unit",generic,doors,3,0.13,7,,#9a8cff,,,,
equipment,"Server rack enclosure, 42U 600mm NetShelter SX AR3100",APC (Schneider Electric),it-racks,3.51,1.97,6.53,,#1f2937,,,,
equipment,"Server rack enclosure, 48U 600mm NetShelter SX AR3300",APC (Schneider Electric),it-racks,3.51,1.97,7.41,,#1f2937,,,,
equipment,"Server rack enclosure, 42U 750mm wide NetShelter SX AR3150",APC (Schneider Electric),it-racks,3.51,2.46,6.53,,#1f2937,,,,
equipment,"Server rack enclosure, 48U 750x1200mm NetShelter SX AR3347",APC (Schneider Electric),it-racks,3.94,2.46,7.41,,#1f2937,,,,
equipment,"Server rack enclosure, 42U 600mm VR3100",Vertiv,it-racks,3.61,1.97,6.56,,#1f2937,,,,
equipment,"Server rack enclosure, 42U 800mm wide VR3300",Vertiv,it-racks,3.61,2.62,6.56,,#1f2937,,,,
equipment,"2-post open frame relay rack, 7 ft Universal Rack",Chatsworth (CPI),it-racks,1.69,1.25,7,,#1f2937,,,,
equipment,"4-post open frame rack, adjustable depth QuadraRack type",Chatsworth (CPI),it-racks,3,2,7,,#1f2937,,,,
equipment,"Wall-mount network cabinet, 12U",generic,it-racks,2,2,2.1,,#9a8cff,,,,
equipment,"Containment aisle end door, sliding pair",generic,aisle-containment,4,0.3,7.5,,#9a8cff,,,,
equipment,"Selective rack upright frame, 42 in x 20 ft 1100 Series type",Interlake Mecalux,pallet-racking,3.5,0.25,20,,#1f2937,,,,
equipment,"Selective rack upright frame, 42 in x 24 ft Slotted RUR type",Ridg-U-Rak,pallet-racking,3.5,0.25,24,,#1f2937,,,,
equipment,"Selective rack upright frame, 42 in x 30 ft SK2000",Steel King,pallet-racking,3.5,0.25,30,,#1f2937,,,,
equipment,"Drive-in rack lane, 4 pallets deep",Steel King,pallet-racking,18,6,20,,#1f2937,,,,
equipment,"Push-back rack lane, 3 deep",Ridg-U-Rak,pallet-racking,14,9,20,,#1f2937,,,,
equipment,"Cantilever rack column, single-sided",Steel King,pallet-racking,4,4,16,,#1f2937,,,,
equipment,Compression dock seal foam seal type,Rite-Hite,dock-equipment,10,1,11,,#9a8cff,,,,
equipment,Rigid-frame dock shelter S2000 type,Serco,dock-equipment,12,1.5,14,,#9a8cff,,,,
equipment,Vehicle restraint (trailer lock) Dok-Lok,Rite-Hite,dock-equipment,2,1.5,1.5,,#9a8cff,,,,
equipment,Laminated dock bumper,generic,dock-equipment,0.83,0.38,1.67,,#9a8cff,,,,
equipment,"Sectional overhead dock door, 9x10 Thermacore 599 type",Overhead Door,dock-equipment,9,0.17,10,,#9a8cff,,,,
equipment,"Structural steel mezzanine, free-standing custom",Wildeck,mezzanines,25,25,10,,#9a8cff,,,,
equipment,"Mezzanine access stair, IBC",generic,mezzanines,13,3.67,10,,#9a8cff,,,,
equipment,"Mezzanine pallet safety gate, pivot type Pivot Gate type",PS Safety (PS Doors),mezzanines,6,6,7,,#9a8cff,,,,
equipment,"Panel workstation, 6x6 Answer",Steelcase,office-furniture,6,6,4.5,,#9a8cff,,,,
equipment,"Panel workstation, 8x8 Answer",Steelcase,office-furniture,8,8,5.42,,#9a8cff,,,,
equipment,"Panel workstation, 6x6 Canvas Office Landscape",MillerKnoll (Herman Miller),office-furniture,6,6,4.5,,#9a8cff,,,,
equipment,"Benching desk position, 60x30 Ology / Bivi",Steelcase,office-furniture,5,2.5,2.42,,#9a8cff,,,,
equipment,"Height-adjustable desk, 60x30",generic,office-furniture,5,2.5,2.42,,#9a8cff,,,,
equipment,"Conference table, 8-seat",generic,office-furniture,8,4,2.42,,#9a8cff,,,,
equipment,"Conference table, 12-seat",generic,office-furniture,12,5,2.42,,#9a8cff,,,,
equipment,"Boardroom table, 16-seat",generic,office-furniture,16,5.5,2.42,,#9a8cff,,,,
equipment,"Phone booth, 1-person Framery O",Framery,office-furniture,3.35,3.3,7.3,,#9a8cff,,,,
equipment,"Meeting pod, 2-person Framery Q",Framery,office-furniture,7.2,3.9,7.4,,#9a8cff,,,,
equipment,"Meeting pod, 4-6 person Framery 2Q",Framery,office-furniture,7.55,7.2,7.6,,#9a8cff,,,,
equipment,"Lateral file cabinet, 36 in 2-drawer",generic,office-furniture,3,1.5,2.33,,#9a8cff,,,,
equipment,"Lounge sofa, 3-seat",generic,office-furniture,7,3,2.83,,#9a8cff,,,,
equipment,"Day-use locker bank, 6-opening",generic,office-furniture,3,1.5,6,,#9a8cff,,,,
equipment,Kitchen base cabinet run,generic,mf-unit-interior,10,2,3,,#9a8cff,,,,
equipment,Kitchen wall cabinet run,generic,mf-unit-interior,8,1,3,,#9a8cff,,,,
equipment,Kitchen island,generic,mf-unit-interior,6.5,3.25,3,,#9a8cff,,,,
equipment,Stacked washer/dryer closet,generic,mf-unit-interior,2.83,2.83,8,,#9a8cff,,,,
equipment,Side-by-side washer/dryer closet,generic,mf-unit-interior,5.33,2.83,8,,#9a8cff,,,,
equipment,"Full bathroom, 5x8 tub bath",generic,mf-unit-interior,8,5,8,,#9a8cff,,,,
equipment,"Primary bathroom, 5x9-10 shower bath",generic,mf-unit-interior,9.5,5,8,,#9a8cff,,,,
equipment,Walk-in closet,generic,mf-unit-interior,6,5,8,,#9a8cff,,,,
equipment,"Gondola shelving island run, double-sided S-Series type",Lozier,retail-fixtures,24,3.5,4.5,,#9a8cff,,,,
equipment,"Wall gondola shelving, single-sided wall unit",Madix,retail-fixtures,4,2,7,,#9a8cff,,,,
equipment,Gondola end cap unit,Lozier,retail-fixtures,4,2,4.5,,#9a8cff,,,,
equipment,"Checkout counter, cashier lane",generic,retail-fixtures,8,3.3,2.83,,#9a8cff,,,,
equipment,Self-checkout kiosk SelfServ type,NCR Voyix,retail-fixtures,4,2.5,5,,#9a8cff,,,,
equipment,"Walk-in cooler, 8x10 panel walk-in",Kolpak,retail-fixtures,10,8,8.5,,#9a8cff,,,,
equipment,"Walk-in freezer, 10x12 panel walk-in",Norlake,retail-fixtures,12,10,8.5,,#9a8cff,,,,
equipment,"Multideck refrigerated display case, 12 ft Q3 / D5 type",Hussmann,retail-fixtures,12,2.9,6.6,,#9a8cff,,,,
equipment,Round apparel rack,generic,retail-fixtures,3,3,5,,#1f2937,,,,
equipment,4-way apparel rack,generic,retail-fixtures,3,3,5.5,,#1f2937,,,,
equipment,"MRL passenger elevator, 2500 lb MonoSpace 500 (DX)",KONE,elevators-escalators,6.67,4.25,8,,#9a8cff,,,,
equipment,"MRL passenger elevator, 3500 lb Gen2 / Gen3",Otis,elevators-escalators,6.67,5.42,8,,#9a8cff,,,,
equipment,"MRL passenger elevator, 4000 lb 3300 / N series",Schindler,elevators-escalators,7.75,5.42,8,,#9a8cff,,,,
equipment,"Service elevator, 5000 lb hospital-shaped evolution type",TK Elevator,elevators-escalators,9,5.75,9,,#9a8cff,,,,
equipment,"Holeless hydraulic elevator, 2500 lb",generic,elevators-escalators,6.67,4.25,8,,#9a8cff,,,,
equipment,"Freight elevator, 10000 lb Class C",generic,elevators-escalators,12,8.33,10,,#9a8cff,,,,
equipment,"Escalator, 30 deg, 40 in step 9300",Schindler,elevators-escalators,44,5.2,16,,#9a8cff,,,,
equipment,"Escalator, 35 deg, 32 in step TravelMaster 110",KONE,elevators-escalators,37,4.6,16,,#9a8cff,,,,
equipment,"Type I exhaust hood, 10 ft ND-2 series",CaptiveAire,commercial-kitchen,10,4.5,2,,#9a8cff,,,,
equipment,"Type I exhaust hood, 8 ft ND-2 series",CaptiveAire,commercial-kitchen,8,4.5,2,,#9a8cff,,,,
equipment,"Reach-in refrigerator, 2-door T-49",True,commercial-kitchen,4.51,2.48,6.53,,#9a8cff,,,,
equipment,"6-burner range with oven, 60 in 60SS type",Vulcan,commercial-kitchen,5,2.83,4.75,,#9a8cff,,,,
equipment,"Combi oven on stand, full-size iCombi Pro 10-1/1",Rational,commercial-kitchen,2.83,2.92,5.67,,#9a8cff,,,,
equipment,"Stainless work table, 72x30",generic,commercial-kitchen,6,2.5,2.83,,#9a8cff,,,,
equipment,Three-compartment sink,generic,commercial-kitchen,7.5,2.5,3.7,,#9a8cff,,,,
equipment,Door-type dishwasher AM16,Hobart,commercial-kitchen,2.21,2.5,5.6,,#9a8cff,,,,
equipment,"Kitchen walk-in cooler, 6x8 panel walk-in",Kolpak,commercial-kitchen,8,6,7.5,,#9a8cff,,,,
opening,Single-hung window 3x5 250 Series,Pella,double-hung,3,,5,3.0,#ffffff,,,,
opening,Sliding (glider) window 4x3 250 Series,Pella,sliding,4,,3,3.5,#ffffff,,,,
opening,Picture window 4x4 250 Series,Pella,fixed,4,,4,2.5,#ffffff,,,,
opening,Single-hung window 3x5 Impervia,Pella,double-hung,3,,5,3.0,#ffffff,,,,
opening,Casement window 2x4 Impervia,Pella,fixed,2,,4,3.0,#ffffff,,,,
opening,Sliding window 6x4 Impervia,Pella,sliding,6,,4,3.0,#ffffff,,,,
opening,Double-hung window 3x5 Lifestyle Series,Pella,double-hung,3,,5,3.0,#ffffff,,,,
opening,Casement window 2.5x5 Lifestyle Series,Pella,fixed,2.5,,5,2.5,#ffffff,,,,
opening,Picture window 4x4 Lifestyle Series,Pella,fixed,4,,4,2.5,#ffffff,,,,
opening,Single-hung window 3x5 100 Series,Andersen,double-hung,3,,5,3.0,#ffffff,,,,
opening,Gliding window 4x3 100 Series,Andersen,fixed,4,,3,3.5,#ffffff,,,,
opening,Picture window 4x4 100 Series,Andersen,fixed,4,,4,2.5,#ffffff,,,,
opening,Casement window 2x3 100 Series,Andersen,fixed,2,,3,3.5,#ffffff,,,,
opening,Tilt-wash double-hung 3x5 400 Series Tilt-Wash,Andersen,double-hung,3,,5,3.0,#ffffff,,,,
opening,Casement window 2x4 400 Series Casement,Andersen,fixed,2,,4,3.0,#ffffff,,,,
opening,Picture window 4x4 400 Series,Andersen,fixed,4,,4,2.5,#ffffff,,,,
opening,Casement window 2.5x5 Essential,Marvin,fixed,2.5,,5,2.5,#ffffff,,,,
opening,Double-hung window 3x5 Essential,Marvin,double-hung,3,,5,3.0,#ffffff,,,,
opening,Picture window 6x4 Essential,Marvin,fixed,6,,4,2.5,#ffffff,,,,
opening,Double-hung window 3x5 Elevate,Marvin,double-hung,3,,5,3.0,#ffffff,,,,
opening,Casement window 2x4 Elevate,Marvin,fixed,2,,4,3.0,#ffffff,,,,
opening,Picture window 4x4 Elevate,Marvin,fixed,4,,4,2.5,#ffffff,,,,
opening,Single-hung window 3x5 Trinsic (V300),Milgard,double-hung,3,,5,3.0,#ffffff,,,,
opening,Horizontal slider 6x4 Style Line (V250),Milgard,sliding,6,,4,3.0,#ffffff,,,,
opening,Picture window 4x4 Tuscany (V400),Milgard,fixed,4,,4,2.5,#ffffff,,,,
opening,Casement window 2x4 Ultra (C650),Milgard,fixed,2,,4,3.0,#ffffff,,,,
opening,Single-hung window 3x5 V-2500,Jeld-Wen,double-hung,3,,5,3.0,#ffffff,,,,
opening,Sliding window 4x4 V-2500,Jeld-Wen,sliding,4,,4,3.0,#ffffff,,,,
opening,Double-hung window 2x3 Premium Vinyl,Jeld-Wen,double-hung,2,,3,3.5,#ffffff,,,,
opening,Casement window 2x4 Siteline,Jeld-Wen,fixed,2,,4,3.0,#ffffff,,,,
opening,Fixed/vent aluminum window 5x5 4250i INvent,Wausau,fixed,5,,5,2.5,#ffffff,,,,
opening,Window wall vision panel 5x9 YWW 45 TU,YKK AP,fixed,5,,9,0.0,#ffffff,,,,
opening,Window wall module w/ integrated slider 10x9,generic,sliding,10,,9,0.0,#ffffff,,,,
opening,Window wall spandrel panel 5x3,generic,fixed,5,,3,,#ffffff,,,,
opening,Storefront vision lite 5x8 Trifab VersaGlaze 451T,Kawneer,storefront,5,,8,0.0,#ffffff,,,,
opening,Storefront vision lite 5x8 YES 45 FS,YKK AP,storefront,5,,8,0.0,#ffffff,,,,
opening,Storefront vision lite 4x8 T14000,Tubelite,storefront,4,,8,0.0,#ffffff,,,,
opening,Storefront vision lite 5x8 FG-3000,Oldcastle BuildingEnvelope,storefront,5,,8,0.0,#ffffff,,,,
opening,Medium stile entrance door single 3x7 350 Standard Entrance,Kawneer,glass-door,3,,7,0.0,#ffffff,,,,
opening,Medium stile entrance pair 6x7 350 Standard Entrance,Kawneer,glass-door,6,,7,0.0,#ffffff,,,,
opening,Wide stile entrance door single 3x7 500 Wide Stile Entrance,Kawneer,glass-door,3,,7,0.0,#ffffff,,,,
opening,Wide stile entrance pair 6x7 500 Wide Stile Entrance,Kawneer,glass-door,6,,7,0.0,#ffffff,,,,
opening,Narrow stile entrance door single 3x7 190 Narrow Stile Entra,Kawneer,glass-door,3,,7,0.0,#ffffff,,,,
opening,Medium stile entrance pair 6x7 35D,YKK AP,glass-door,6,,7,0.0,#ffffff,,,,
opening,Curtainwall lite module 5x7 1600 Wall System 1,Kawneer,storefront,5,,7,,#ffffff,,,,
opening,Curtainwall lite module 5x6 YCW 750 XT,YKK AP,storefront,5,,6,,#ffffff,,,,
opening,Curtainwall lite module 5x7 5600 Series,EFCO,storefront,5,,7,,#ffffff,,,,
opening,Curtainwall spandrel lite 5x4 Reliance,Oldcastle BuildingEnvelope,storefront,5,,4,,#ffffff,,,,
opening,HM man door single 3x7 w/ frame L-Series,Steelcraft,man-door,3,,7,0.0,#ffffff,,,,
opening,HM man door single 3x7 w/ frame Regent,Ceco Door,man-door,3,,7,0.0,#ffffff,,,,
opening,HM man door single 4x7 w/ frame 707 Series,Curries,man-door,4,,7,0.0,#ffffff,,,,
opening,HM door pair 6x7 w/ frame hollow metal pair,generic,man-door,6,,7,0.0,#ffffff,,,,
opening,Automatic bi-part sliding entrance 12x7.5 Dura-Glide 2000/30,Stanley Access,sliding,12,,7.5,0.0,#ffffff,,,,
opening,Automatic single-slide entrance 8x7.5 Dura-Glide,Stanley Access,glass-door,8,,7.5,0.0,#ffffff,,,,
opening,Automatic bi-part sliding entrance 14x7.5 Besam SL500,ASSA ABLOY Entrance Systems,sliding,14,,7.5,0.0,#ffffff,,,,
opening,Automatic bi-part sliding entrance 12x7.5 2000 Series,Horton Automatics,sliding,12,,7.5,0.0,#ffffff,,,,
opening,Ribbed steel sectional door 8x8 Model 416,Overhead Door,overhead,8,,8,0.0,#ffffff,,,,
opening,Insulated sectional door 10x10 Energy Series (Intellicore),Clopay,overhead,10,,10,0.0,#ffffff,,,,
opening,Insulated sectional door 12x12 ThermoSpan 150,Wayne Dalton,overhead,12,,12,0.0,#ffffff,,,,
opening,Insulated sectional door 12x14 Thermacore 592,Overhead Door,overhead,12,,14,0.0,#ffffff,,,,
opening,Insulated sectional door 14x16 Thermacore 593,Overhead Door,overhead,14,,16,0.0,#ffffff,,,,
opening,Insulated sectional door 16x16 ThermoSpan 200-20V,Wayne Dalton,overhead,16,,16,0.0,#ffffff,,,,
opening,Heavy-duty sectional door 20x18,generic,overhead,20,,18,0.0,#ffffff,,,,
opening,Insulated dock door 9x10 Thermacore 592,Overhead Door,dock,9,,10,4.0,#ffffff,,,,
opening,Impactable knock-out dock door 9x10,TKO,dock,9,,10,,#ffffff,,,,
opening,Insulated dock door 8x10 insulated sectional,generic,dock,8,,10,,#ffffff,,,,
opening,Dock door 9x9 insulated sectional,generic,dock,9,,9,,#ffffff,,,,
opening,High-speed rigid spiral door 12x12,Rytec,fixed,12,,12,0.0,#ffffff,,,,
opening,High-speed fabric roll-up 10x10 PredaDoor NXT,Rytec,overhead,10,,10,0.0,#ffffff,,,,
opening,High-speed spiral door 10x10 Speed-Guardian 4000,Hormann,fixed,10,,10,0.0,#ffffff,,,,
opening,High-speed fabric roll-up 10x10 RR300,Albany (ASSA ABLOY),overhead,10,,10,0.0,#ffffff,,,,
opening,Rolling steel fire door 8x8 FireKing 630 Series,Overhead Door,fixed,8,,8,0.0,#ffffff,,,,
opening,Fire-rated counter shutter 6x4 counter fire shutter,CornellCookson,fixed,6,,4,3.0,#ffffff,,,,
opening,Open-air coiling grille 12x10 VisionAire,CornellCookson,fixed,12,,10,0.0,#ffffff,,,,
opening,Aluminum coiling grille 16x10 Model 671,Overhead Door,fixed,16,,10,0.0,#ffffff,,,,
opening,Side-folding grille 20x10,Dynamic Closures,fixed,20,,10,0.0,#ffffff,,,,
opening,Fixed curb-mount skylight 4x4 FCM,VELUX,fixed,4,,1,,#ffffff,,,,
opening,Unit skylight 4x8,Kingspan Light + Air (Wasco),fixed,8,,1.5,,#ffffff,,,,
opening,Automatic smoke vent 4x4,Bilco,fixed,4,,1,,#ffffff,,,,
opening,Automatic smoke vent 4x8,Bilco,fixed,8,,1,,#ffffff,,,,
opening,Translucent sandwich panel 4x10 translucent panel system,Kalwall,fixed,4,,10,3.0,#ffffff,,,,
opening,Sliding patio door 6x6.83 250 Series,Pella,sliding,6,,6.83,0.0,#ffffff,,,,
opening,Gliding patio door 6x6.83 100 Series,Andersen,sliding,6,,6.83,0.0,#ffffff,,,,
opening,Wood gliding patio door 6x6.67 400 Series Frenchwood Gliding,Andersen,sliding,6,,6.67,0.0,#ffffff,,,,
opening,Sliding patio door 8x6.83 Trinsic (V300),Milgard,sliding,8,,6.83,0.0,#ffffff,,,,
opening,Multi-slide door 12x8 Series 600 Multi-Slide,Western Window Systems,sliding,12,,8,0.0,#ffffff,,,,
opening,Stationary drainable louver 4x4 ELF375DX,Ruskin,fixed,4,,4,3.0,#ffffff,,,,
opening,Stationary louver 4x4 ESD-435,Greenheck,fixed,4,,4,,#ffffff,,,,
opening,Wind-driven rain louver 8x4 module EVH-501,Greenheck,fixed,8,,4,3.0,#ffffff,,,,
opening,Precast knock-out panel 12x14,generic,fixed,12,,14,0.0,#ffffff,,,,
opening,Precast knock-out panel 10x10,generic,fixed,10,,10,0.0,#ffffff,,,,
opening,Storefront door lite w/ transom 3x10 Trifab VersaGlaze 451T,Kawneer,storefront,3,,10,0.0,#ffffff,,,,
opening,HM man door single 3x7 fire-rated L-Series (90-min),Steelcraft,man-door,3,,7,0.0,#ffffff,,,,
opening,Horizontal ribbon window 8x5 aluminum ribbon window,generic,fixed,8,,5,2.5,#ffffff,,,,
preset,Aligned Data Centers Scale campus building,Aligned Data Centers,datacenter,900,390,,,,1,18,3,concrete
preset,Compass Datacenters 36 MW bank building,Compass Datacenters,datacenter,800,375,,,,1,16,3,concrete
preset,CyrusOne Massively modular data center,CyrusOne,datacenter,850,470,,,,1,16,3,concrete
preset,Digital Realty Turn-Key Flex multi-hall building,Digital Realty,datacenter,500,250,,,,2,15,3,concrete
preset,EdgeConneX Edge / build-to-suit infill data center,EdgeConneX,datacenter,400,250,,,,1,14,3,metal
preset,Flexential Retail/wholesale colo building,Flexential,datacenter,450,220,,,,1,14,3,concrete
preset,Google Hyperscale two-story build,Google,datacenter,900,280,,,,2,18,3,metal
preset,Meta H-type hyperscale fulfillment (classic H building),Meta,datacenter,1000,450,,,,1,16,3,metal
preset,Microsoft Hyperscale standard build,Microsoft,datacenter,800,310,,,,1,16,3,concrete
preset,NTT Global Data Centers Two-story 36 MW building,NTT Global Data Centers,datacenter,500,250,,,,2,15,3,concrete
preset,QTS Freedom design mega data center,QTS,datacenter,1000,500,,,,2,16,3,concrete
preset,STACK Infrastructure Hyperscale campus building,STACK Infrastructure,datacenter,700,360,,,,1,16,3,metal
preset,Vantage Data Centers V-series campus building,Vantage Data Centers,datacenter,400,250,,,,2,16,3,metal
preset,generic Powered shell data center,generic,datacenter,700,285,,,,1,16,3,concrete
preset,Amazon Robotics fulfillment center (4-story AR sortable),Amazon,industrial,720,630,,,,4,36,3,concrete
preset,Amazon Fulfillment center (single-story sortable legacy),Amazon,industrial,1400,700,,,,1,36,3,concrete
preset,Amazon Sortation center,Amazon,industrial,940,320,,,,1,36,3,concrete
preset,Amazon Delivery station (last mile),Amazon,industrial,800,220,,,,1,28,3,concrete
preset,Ambrose Property Group Rear-load spec,Ambrose Property Group,industrial,1000,250,,,,1,32,3,concrete
preset,Clarion Partners Rear-load institutional spec,Clarion Partners,industrial,1200,250,,,,1,32,3,concrete
preset,Crow Holdings Spec cross-dock,Crow Holdings,industrial,700,500,,,,1,36,3,concrete
preset,"Duke Realty (legacy, now Prologis) Modern bulk spec","Duke Realty (legacy, now Prologis)",industrial,900,520,,,,1,36,3,concrete
preset,EQT Exeter Big-box regional distribution,EQT Exeter,industrial,1300,600,,,,1,40,3,concrete
preset,FedEx Ground Regional sortation hub,FedEx Ground,industrial,1200,350,,,,1,36,3,metal
